Timestamp,Temperature,Humidity
2/4/2024 17:58,54.61,45.61
2/4/2024 17:59,54.59,45.6
2/4/2024 18:00,54.57,45.58
2/4/2024 18:01,54.57,45.58
2/4/2024 18:02,54.54,45.57
2/4/2024 18:03,54.54,45.57
2/4/2024 18:04,54.52,45.56
2/4/2024 18:05,54.52,45.57
2/4/2024 18:06,54.5,45.56
2/4/2024 18:07,54.46,45.54
2/4/2024 18:08,54.46,45.56
2/4/2024 18:09,54.45,45.53
2/4/2024 18:10,54.41,45.53
2/4/2024 18:11,54.41,45.54
2/4/2024 18:12,54.39,45.51
2/4/2024 18:13,54.37,45.5
2/4/2024 18:14,54.34,45.51
2/4/2024 18:15,54.37,45.5
2/4/2024 18:16,54.34,45.5
2/4/2024 18:17,54.32,45.49
2/4/2024 18:18,54.32,45.48
2/4/2024 18:19,54.28,45.48
2/4/2024 18:20,54.27,45.47
2/4/2024 18:21,54.27,45.49
2/4/2024 18:22,54.23,45.48
2/4/2024 18:23,54.23,45.46
2/4/2024 18:24,54.23,45.44
2/4/2024 18:25,54.21,45.43
2/4/2024 18:26,54.21,45.4
2/4/2024 18:27,54.19,45.41
2/4/2024 18:28,54.19,45.4
2/4/2024 18:29,54.19,45.41
2/4/2024 18:30,54.16,45.39
2/4/2024 18:31,54.16,45.36
2/4/2024 18:32,54.16,45.36
2/4/2024 18:33,54.16,45.35
2/4/2024 18:34,54.16,45.36
2/4/2024 18:35,54.1,45.32
2/4/2024 18:36,54.1,45.33
2/4/2024 18:37,54.09,45.37
2/4/2024 18:38,54.07,45.38
2/4/2024 18:39,54.07,45.38
2/4/2024 18:40,54.03,45.39
2/4/2024 18:41,54.03,45.35
2/4/2024 18:42,54.03,45.36
2/4/2024 18:43,54.01,45.36
2/4/2024 18:44,53.98,45.35
2/4/2024 18:45,53.96,45.35
2/4/2024 18:46,53.96,45.32
2/4/2024 18:47,53.91,45.33
2/4/2024 18:48,53.91,45.33
2/4/2024 18:49,53.91,45.32
2/4/2024 18:50,53.89,45.31
2/4/2024 18:51,53.87,45.31
2/4/2024 18:52,53.87,45.31
2/4/2024 18:53,53.83,45.29
2/4/2024 18:54,53.82,45.29
2/4/2024 18:55,53.82,45.29
2/4/2024 18:56,53.78,45.3
2/4/2024 18:57,53.78,45.29
2/4/2024 18:58,53.76,45.3
2/4/2024 18:59,53.73,45.28
2/4/2024 19:00,53.73,45.28
2/4/2024 19:01,53.71,45.28
2/4/2024 19:02,53.71,45.26
2/4/2024 19:03,53.67,45.23
2/4/2024 19:04,53.67,45.24
2/4/2024 19:05,53.65,45.24
2/4/2024 19:06,53.62,45.24
2/4/2024 19:07,53.62,45.23
2/4/2024 19:08,53.6,45.24
2/4/2024 19:09,53.58,45.24
2/4/2024 19:10,53.58,45.22
2/4/2024 19:11,53.55,45.22
2/4/2024 19:12,53.55,45.21
2/4/2024 19:13,53.53,45.2
2/4/2024 19:14,53.53,45.18
2/4/2024 19:15,53.51,45.19
2/4/2024 19:16,53.47,45.18
2/4/2024 19:17,53.47,45.18
2/4/2024 19:18,53.46,45.18
2/4/2024 19:19,53.46,45.16
2/4/2024 19:20,53.46,45.17
2/4/2024 19:21,53.42,45.16
2/4/2024 19:22,53.4,45.14
2/4/2024 19:23,53.4,45.14
2/4/2024 19:24,53.38,45.14
2/4/2024 19:25,53.38,45.13
2/4/2024 19:26,53.35,45.15
2/4/2024 19:27,53.33,45.15
2/4/2024 19:28,53.29,45.12
2/4/2024 19:29,53.29,45.12
2/4/2024 19:30,53.28,45.11
2/4/2024 19:31,53.28,45.13
2/4/2024 19:32,53.26,45.11
2/4/2024 19:33,53.22,45.11
2/4/2024 19:34,53.26,45.08
2/4/2024 19:35,53.2,45.08
2/4/2024 19:36,53.2,45.11
2/4/2024 19:37,53.17,45.09
2/4/2024 19:38,53.17,45.08
2/4/2024 19:39,53.17,45.04
2/4/2024 19:40,53.17,45.05
2/4/2024 19:41,53.15,45.04
2/4/2024 19:42,53.15,45.01
2/4/2024 19:43,53.11,45.03
2/4/2024 19:44,53.11,45.01
2/4/2024 19:45,53.11,45.04
2/4/2024 19:46,53.11,45.03
2/4/2024 19:47,53.11,45.02
2/4/2024 19:48,53.1,45.02
2/4/2024 19:49,53.08,45.02
2/4/2024 19:50,53.1,45
2/4/2024 19:51,53.08,44.98
2/4/2024 19:52,53.08,45
2/4/2024 19:53,53.08,45
2/4/2024 19:54,53.02,44.97
2/4/2024 19:55,53.02,44.96
2/4/2024 19:56,53.02,44.96
2/4/2024 19:57,53.02,44.93
2/4/2024 19:58,52.99,44.94
2/4/2024 19:59,52.97,44.94
2/4/2024 20:00,52.97,44.95
2/4/2024 20:01,52.97,44.99
2/4/2024 20:02,52.97,45
2/4/2024 20:03,52.95,45.02
2/4/2024 20:04,52.92,45.03
2/4/2024 20:05,52.9,45.03
2/4/2024 20:06,52.88,45.03
2/4/2024 20:07,52.88,45.03
2/4/2024 20:08,52.84,45
2/4/2024 20:09,52.84,45.03
2/4/2024 20:10,52.83,45.04
2/4/2024 20:11,52.79,45.01
2/4/2024 20:12,52.79,45.01
2/4/2024 20:13,52.77,44.99
2/4/2024 20:14,52.77,45
2/4/2024 20:15,52.75,44.97
2/4/2024 20:16,52.72,45
2/4/2024 20:17,52.72,44.98
2/4/2024 20:18,52.7,44.96
2/4/2024 20:19,52.7,45.01
2/4/2024 20:20,52.65,44.97
2/4/2024 20:21,52.65,45
